
"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.2","","14.4","10.5","7.9","5.5","2.7","2.1","1.6","0.9","1.3","1","1.2","0.9","1.8","1.5","1.3","1.2","0.9","1.4","1.1","0.4","",
"Samoa Americana","ASM","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua y Barbuda","ATG","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","1","","","","1","","","","0.7","","","","","","0.7","","","","","","0.7","","1","0.5","","","","0.4","","0.3","","","","0.5","","0.5","","0.5","","","",
"Austria","AUT","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","","","","0.2","1","","0.2","","","0.2","","","0.3","0.1","0.2","0.1","0.4","0.5","0.7","0.5","0.4","0.6","0.3","0.2","0.7","0.7","0.3","0.6","0.6","","",
"Azerbaiyán","AZE","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","","","","","","2.6","0","0","0","0","","","","","","","","","","","","","","","","",
"Burundi","BDI","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.9","","","","","","84.7","","","","","","","","78.6","","","","","","","72.8","","","","","","","","",
"Bélgica","BEL","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","0.2","","","0.5","","","","1","","","0.4","","0.5","","","0.3","","","0.3","0.1","0.2","0.2","0.2","0.1","0.1","0.1","0.2","0.2","0.1","0.1","0.1","0.1","0.1","0.1","0.1","","",
"Benin","BEN","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.4","","","","","","","","53.2","","","","49.6","","","19.2","","","",
"Burkina Faso","BFA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83.2","","","","81.6","","","","","57.4","","","","","","55.4","","","","","43.8","","","","33.7","","","",
"Bangladesh","BGD","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","38.8","","34.2","","","43.2","","","43.5","","","","35","","","","","34.2","","","","","25.1","","","","","19.2","","","","","","14.3","","","","","",
"Bulgaria","BGR","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.6","1.8","1.2","1.3","2","2.4","2.2","1.8","1.6","3.4","1.9","1.4","0.9","0.9","","",
"Bahrein","BHR","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia y Herzegovina","BIH","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","","","0.2","","","0.1","","","","0.1","","","","","","","","","","",
"Belarús","BLR","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.8","10.6","7.3","3.2","2.1","1.4","0.3","0.4","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","0","",
"Belice","BLZ","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.1","9.7","","13.3","16","14.2","13.9","","","","","","","","","","","","","","","","","","","","","","",
"Bermudas","BMU","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.3","","25.2","28.6","22.8","24.6","","13.6","19.2","16.1","12.4","11","10.3","","7.2","8.2","6.9","5.7","6.3","7.5","6.5","4.9","3.2","4.4","",
"Brasil","BRA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","21.3","21.7","27.4","26.7","23.1","10.5","17.7","20","18.2","21.5","","20.7","19.8","","12.9","14.1","14","12.7","13.3","","11.5","10.2","11","9.7","8.6","7.2","6.7","5.5","5.4","","4.7","3.9","3.2","2.9","3.4","4.1","4.7","4.7","4.9","1.7","",
"Barbados","BRB","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhután","BTN","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.8","","","","8.2","","","","","2.2","","","","","1.5","","","","",
"Botswana","BWA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","40.9","","","","","","","","33.3","","","","","","","","","28.2","","","","","","","17.2","","","","","","14.5","","","","","","",
"República Centroafricana","CAF","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84.1","","","","","","","","","","","","","","","","65.9","","","","","","","","","","","","","",
"Canadá","CAN","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","2.2","","","","1","","","","","","0.5","","","","","","0.2","","","","0.2","","","0.2","","","0.5","0.5","","0.2","","","","0.2","","","0.2","","","0.2","","0.2","0.5","0.2","0.2","0.2","0.2","","","","",
"Europa Central y del Báltico","CEB","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suiza","CHE","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","0.7","","","","","","","","","","0.5","","","","","","","","0","","0","","","","0","0","0.1","0","0","0","0","0","0","0","0","0","0","","","",
"Islas del Canal","CHI","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.4","","","7.9","","4.6","","4.9","","3.4","","3.5","","4.3","","","4","","","1.5","","","1.3","","0.6","","0.4","","0.3","","0.3","","","0.7","",
"China","CHN","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","66.3","","","56.7","","","41.7","","","40.3","","","31.7","","","18.5","","","14.9","","11.2","7.9","6.5","1.9","1.4","0.7","0.5","0.4","0.3","0.1","","",
"Côte d'Ivoire","CIV","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","7.6","3.5","7.4","11.9","","","","23.7","","","21.6","","","27","","","","24.4","","","","","","30.4","","","","","","","29.8","","","9.2","","","",
"Camerún","CMR","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.2","","","","","26","","","","","","31.8","","","","","","","26","","","","","","","",
"Congo, República Democrática del","COD","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","94.3","","","","","","","","77.2","","","","","","","","","",
"Congo, República del","COG","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55.1","","","","","","39.6","","","","","","","","","","",
"Colombia","COL","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9","","","","16.7","","","20.4","16.8","20.1","13.2","12.1","11.2","9.8","","","10.4","9","7.8","6.3","6.2","5.6","5","4.6","4.5","4","4.2","4.9","10.3","",
"Comoras","COM","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15","","","","","","","","","","19.1","","","","","","","",
"Cabo Verde","CPV","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16.6","","","","","","8.4","","","","","","","","3.4","","","","","","",
"Costa Rica","CRI","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","25.2","","","","","13.5","","","10.4","10.2","11.8","9.7","8.1","6.8","7","8.1","6.6","5.1","6.6","6.7","4.9","4.6","4.6","4.4","3.2","3.2","1.8","2.3","2.4","1.5","1.6","1.6","1.6","1.5","1.5","1.3","1.1","1.5","1","2.1","",
"Estados pequeos del Caribe","CSS","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cuba","CUB","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Islas Caimán","CYM","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chipre","CYP","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0","0","0","0","0.1","0","0","0","0.1","0.1","0","0","0","0","0.2","","",
"República Checa","CZE","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","","0","","","","","","0","","0","0","0.1","0.1","0","0","0","0","0","0","0","0","0","0","0","0","","",
"Alemania","DEU","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","0.2","0.2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2","0","","","",
"Djibouti","DJI","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2","","","","","","","","","","18.2","22.3","","","","17","","","","",
"Dominica","DMA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Dinamarca","DNK","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.5","","","","","0.5","","","0","","","","","0","","","0.3","0.3","0.3","0.1","0","0.1","0.5","0.1","0","0","0.3","0.2","0.2","0.3","0.1","0.2","0.3","","",
"República Dominicana","DOM","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","5.5","","","14.1","","","5.6","","","","5.3","5.6","","","5.5","4.1","5.9","6.9","9","5.9","4.7","4.5","3.9","3.5","2.7","2.9","2.6","2.2","2.1","1.8","1.6","0.7","0.4","0.6","0.8","",
"Argelia","DZA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.3","","","","","","","5.6","","","","","","","","","","","","","","","","0.4","","","","","","","","","","",
"Asia oriental y el Pacífico (excluido altos ingresos)","EAP","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"inicial del dividendo demográfico","EAR","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Asia oriental y el Pacífico","EAS","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","80.2","78","74.8","69.7","65.7","62.8","58.8","53.3","63.4","60.9","58.9","56.1","53.2","49.7","44.6","40.2","40.1","41.4","37.9","34.8","32.7","29.1","25.9","22.5","18.3","17.8","15.7","14.7","12.9","10.8","8.1","6.9","3.3","2.6","2.1","1.7","1.5","1.2","0.9","","",
"Europa y Asia central (excluido altos ingresos)","ECA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Europa y Asia central","ECS","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","2.8","4.2","5.1","6.7","6.8","6.8","6","6","7.8","7.4","6.6","5.7","5.8","4.8","4.7","4","3.3","2.7","2.5","2.4","2","1.9","1.6","1.8","1.5","1.3","1.3","1","1.1","","",
"Ecuador","ECU","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.3","","","","","21.9","28.4","","","14.9","15.1","11.8","8.2","8.5","7.5","7.3","5.7","4.7","4.5","3.2","2.6","3.5","3.6","3.2","3.3","3.6","6.5","",
"Egipto, República Árabe de","EGY","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.7","","","","","5.6","","","","2.4","","","","","5.2","","","","4.7","","2.2","","1.5","","","1.6","","3.8","","","","",
"Zona del Euro","EMU","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Eritrea","ERI","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"España","ESP","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","0.5","","","","","0.2","","","","","0.5","","","","","1.2","","","","","0.5","","","0.8","0.8","0.8","0.8","0.4","0.5","0.8","0.7","1.1","0.9","1.2","0.8","0.9","1.2","0.7","0.9","0.8","","",
"Estonia","EST","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","1","0.8","0.7","0.4","0.4","0.6","0.7","1","0.7","0.8","0.7","0.6","0.5","0.3","0.2","0.5","","",
"Etiopía","ETH","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","","","","57.8","","","","","38.5","","","","","","35.6","","","","","30.8","","","","","","",
"Unión Europea","EUU","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Frágiles y situaciones de conflicto afectados","FCS","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.7","58.3","58.2","57.1","56.3","55.5","54.9","","51.7","50.4","49.2","45.7","43.7","42.3","41","39.7","38.9","37","36.3","35.9","35","34","35.9","35.8","35.3","35.2","","","",
"Finlandia","FIN","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","","","","0","","","","0","","","","","0","","","0","0","0.1","0.1","0.1","0.1","0.1","0","0","0.1","0.1","0.1","0.1","0","0.1","0.1","0","","",
"Fiji","FJI","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.3","","","","","","1.6","","","","","0.5","","","","","","1.8","","",
"Francia","FRA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","1","","","","","","1.5","","","","","1","","","","","0","","","","","","0","","","0.2","0","0","0","0","0","0","0.1","0","0.1","0.1","0","0.1","0.1","0","0","","","",
"Islas Feroe","FRO","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Micronesia (Estados Federados de)","FSM","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.1","","","","","","","","15.4","","","","","","","","",
"Gabón","GAB","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8","","","","","","","","","","","","3.4","","","","",
"Reino Unido","GBR","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","0.2","","","","","0.2","","","","","0.2","","","","","","","0.7","","","","","0.2","","","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.4","0.5","0.2","0.3","0.3","0.2","0.1","0.4","0.2","0.2","0.2","0.1","0.2","0.3","","","","",
"Georgia","GEO","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.3","15.9","14.5","18.5","19.2","19","10.3","10.4","9.9","10.7","10.3","11.6","10.2","10.1","12","11.1","8.5","6.4","4.9","3.7","3.8","5","4.5","3.8","4.2","",
"Ghana","GHA","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.5","40.3","","","47.9","","","","","","","34.2","","","","","","","23.4","","","","","","","11.2","","","","12.7","","","","","",
"Gibraltar","GIB","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Guinea","GIN","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","91.8","","","49.8","","","","","","","","63","","","","","58.4","","","","","36.1","","","","","","23.2","","","",
"Gambia","GMB","Tasa de incidencia de la pobreza, sobre la base de $1,90 por día (2011 PPA) (% de la población)","SI.POV.DDAY","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70.8","","","","","46.1","","","","","","","25.4","","","","","10.3","","","","","","",
